1,0.950,Bat,23-5,37,20,0,57,0.649,0.649,	1,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
2,0.950,Bat,23-5,37,20,0,57,0.649,0.649,	2,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
3,0.950,Bat,23-5,37,19,0,56,0.661,0.661,	3,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
4,0.950,Bat,23-5,37,24,0,61,0.607,0.607,	4,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
5,0.950,Bat,23-5,37,22,0,59,0.627,0.627,	5,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
6,0.950,Bat,23-5,37,23,0,60,0.617,0.617,	6,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
7,0.950,Bat,23-5,37,28,0,65,0.569,0.569,	7,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
8,0.950,Bat,23-5,37,28,0,65,0.569,0.569,	8,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
9,0.950,Bat,23-5,37,28,0,65,0.569,0.569,	9,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
10,0.950,Bat,23-5,37,33,0,70,0.529,0.529,	10,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
11,0.950,Bat,23-5,37,35,0,72,0.514,0.514,	11,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
12,0.950,Bat,23-5,37,36,0,73,0.507,0.507,	12,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
13,0.950,Bat,23-5,37,35,0,72,0.514,0.514,	13,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
14,0.950,Bat,23-5,37,35,0,72,0.514,0.514,	14,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
15,0.950,Bat,23-5,37,37,0,74,0.500,0.500,	15,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
16,0.950,Bat,23-5,37,40,0,77,0.481,0.481,	16,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
17,0.950,Bat,23-5,37,40,0,77,0.481,0.481,	17,0.950,Bat,23-5,37,1,0,38,0.974,0.974,
